"CubeId";"devkum"
"PublishingDate";"2022-11-01 14:30"

"Date";"D0";"D1";"Value"
"1915-09";"M0";"CZK100";
"1915-09";"M0";"HUF100";
"1915-09";"M0";"PLN100";
"1915-09";"M0";"RUB1";
"1915-09";"M0";"SEK100";
"1915-09";"M0";"TRY100";
"1915-09";"M0";"USD1";"5.332"
"1915-09";"M0";"CAD1";
"1915-09";"M0";"ARS1";
"1915-09";"M0";"BRL100";
"1915-09";"M0";"MXN100";
"1915-09";"M0";"ZAR1";
"1915-09";"M0";"JPY100";
"1915-09";"M0";"AUD1";
"1915-09";"M0";"CNY100";
"1915-09";"M0";"HKD100";
"1915-09";"M0";"KRW100";
"1915-09";"M0";"MYR100";
"1915-09";"M0";"NZD1";
"1915-09";"M0";"SGD1";
"1915-09";"M0";"THB100";
"1915-10";"M0";"EUR1";
"1915-10";"M0";"GBP1";"24.925"
"1915-10";"M0";"DKK100";
"1915-10";"M0";"NOK100";
"1915-10";"M0";"CZK100";
"1915-10";"M0";"HUF100";
"1915-10";"M0";"PLN100";
"1915-10";"M0";"RUB1";
"1915-10";"M0";"SEK100";
"1915-10";"M0";"TRY100";
"1915-10";"M0";"USD1";"5.309"
"1915-10";"M0";"CAD1";
"1915-10";"M0";"ARS1";
"1915-10";"M0";"BRL100";
"1915-10";"M0";"MXN100";
"1915-10";"M0";"ZAR1";
"1915-10";"M0";"JPY100";
"1915-10";"M0";"AUD1";
"1915-10";"M0";"CNY100";
"1915-10";"M0";"HKD100";
"1915-10";"M0";"KRW100";
"1915-10";"M0";"MYR100";
"1915-10";"M0";"NZD1";
"1915-10";"M0";"SGD1";
"1915-10";"M0";"THB100";
"1915-11";"M0";"EUR1";
"1915-11";"M0";"GBP1";"24.932"
"1915-11";"M0";"DKK100";
"1915-11";"M0";"NOK100";
"1915-11";"M0";"CZK100";
"1915-11";"M0";"HUF100";
"1915-11";"M0";"PLN100";
"1915-11";"M0";"RUB1";
"1915-11";"M0";"SEK100";
