"CubeId";"plkopr"
"PublishingDate";"2022-10-21 09:00"

"Date";"D0";"Value"
"1927-09";"LD2010100";"15.65480003"
"1927-09";"VVP";"0.0621055"
"1927-10";"LD2010100";"15.6839494"
"1927-10";"VVP";"0.06199001"
"1927-11";"LD2010100";"15.76168107"
"1927-11";"VVP";"0.80787328"
"1927-12";"LD2010100";"15.73253169"
"1927-12";"VVP";"0.68401015"
"1928-01";"LD2010100";"15.66451649"
"1928-01";"VVP";"0.68700052"
"1928-02";"LD2010100";"15.59650128"
"1928-02";"VVP";"0.56320921"
"1928-03";"LD2010100";"15.51886877"
"1928-03";"VVP";"0.63005085"
"1928-04";"LD2010100";"15.54801814"
"1928-04";"VVP";"1.32980957"
"1928-05";"LD2010100";"15.57706837"
"1928-05";"VVP";"0.50151606"
"1928-06";"LD2010100";"15.6159342"
"1928-06";"VVP";"0.24950672"
"1928-07";"LD2010100";"15.64508357"
"1928-07";"VVP";"0.68785972"
"1928-08";"LD2010100";"15.59650128"
"1928-08";"VVP";"0.50024597"
"1928-09";"LD2010100";"15.63536711"
"1928-09";"VVP";"-0.12413391"
"1928-10";"LD2010100";"15.73253169"
"1928-10";"VVP";"0.30975801"
"1928-11";"LD2010100";"15.76168107"
"1928-11";"VVP";"0"
"1928-12";"LD2010100";"15.75186546"
"1928-12";"VVP";"0.12289038"
"1929-01";"LD2010100";"15.66451649"
"1929-01";"VVP";"0"
"1929-02";"LD2010100";"15.66451649"
"1929-02";"VVP";"0.43609271"
"1929-03";"LD2010100";"15.59650128"
"1929-03";"VVP";"0.50024597"
"1929-04";"LD2010100";"15.47018733"
"1929-04";"VVP";"-0.50058348"
"1929-05";"LD2010100";"15.53820253"
"1929-05";"VVP";"-0.24950672"
"1929-06";"LD2010100";"15.63536711"
"1929-06";"VVP";"0.12444286"
"1929-07";"LD2010100";"15.6159342"
"1929-07";"VVP";"-0.18631651"
"1929-08";"LD2010100";"15.69356671"
"1929-08";"VVP";"0.62235388"
"1929-09";"LD2010100";"15.78101483"
"1929-09";"VVP";"0.93152735"
"1929-10";"LD2010100";"15.78101483"
"1929-10";"VVP";"0.30817127"
"1929-11";"LD2010100";"15.73253169"
"1929-11";"VVP";"-0.18493823"
"1929-12";"LD2010100";"15.6839494"
"1929-12";"VVP";"-0.431162"
"1930-01";"LD2010100";"15.59650128"
"1930-01";"VVP";"-0.4341992"
"1930-02";"LD2010100";"15.51886877"
"1930-02";"VVP";"-0.92979391"
"1930-03";"LD2010100";"15.48000293"
"1930-03";"VVP";"-0.7469518"
"1930-04";"LD2010100";"15.33435521"
"1930-04";"VVP";"-0.87802502"
"1930-05";"LD2010100";"15.32463876"
"1930-05";"VVP";"-1.37444327"
"1930-06";"LD2010100";"15.3731219"
"1930-06";"VVP";"-1.67725653"
"1930-07";"LD2010100";"15.40227127"
"1930-07";"VVP";"-1.36823659"
"1930-08";"LD2010100";"15.42170419"
"1930-08";"VVP";"-1.73231829"
"1930-09";"LD2010100";"15.41198773"
"1930-09";"VVP";"-2.33842442"
"1930-10";"LD2010100";"15.31482315"
"1930-10";"VVP";"-2.95412994"
"1930-11";"LD2010100";"15.27605647"
"1930-11";"VVP";"-2.90147342"
"1930-12";"LD2010100";"15.16927458"
"1930-12";"VVP";"-3.28153842"
"1931-01";"LD2010100";"15.11097583"
"1931-01";"VVP";"-3.11304082"
"1931-02";"LD2010100";"15.02352771"
"1931-02";"VVP";"-3.19186318"
"1931-03";"LD2010100";"14.86816353"
"1931-03";"VVP";"-3.95245019"
"1931-04";"LD2010100";"14.62535123"
"1931-04";"VVP";"-4.62363089"
"1931-05";"LD2010100";"14.59620186"
"1931-05";"VVP";"-4.75337077"
"1931-06";"LD2010100";"14.5864854"
"1931-06";"VVP";"-5.11696001"
"1931-07";"LD2010100";"14.55733602"
"1931-07";"VVP";"-5.48578344"
"1931-08";"LD2010100";"14.48941997"
"1931-08";"VVP";"-6.04527365"
"1931-09";"LD2010100";"14.48941997"
"1931-09";"VVP";"-5.98604008"
"1931-10";"LD2010100";"14.33405579"
"1931-10";"VVP";"-6.40403975"
"1931-11";"LD2010100";"14.24660767"
"1931-11";"VVP";"-6.73896959"
"1931-12";"LD2010100";"14.06209411"
"1931-12";"VVP";"-7.29883592"
"1932-01";"LD2010100";"13.95531223"
"1932-01";"VVP";"-7.64784232"
"1932-02";"LD2010100";"13.81938096"
"1932-02";"VVP";"-8.01507322"
"1932-03";"LD2010100";"13.76108222"
"1932-03";"VVP";"-7.4459856"
"1932-04";"LD2010100";"13.5668522"
"1932-04";"VVP";"-7.23742636"
"1932-05";"LD2010100";"13.46978677"
"1932-05";"VVP";"-7.7171794"
"1932-06";"LD2010100";"13.43082179"
"1932-06";"VVP";"-7.92283797"
"1932-07";"LD2010100";"13.36290574"
"1932-07";"VVP";"-8.20500596"
"1932-08";"LD2010100";"13.30460699"
"1932-08";"VVP";"-8.17709046"
"1932-09";"LD2010100";"13.24630824"
"1932-09";"VVP";"-8.57944437"
"1932-10";"LD2010100";"13.22697447"
"1932-10";"VVP";"-7.72343384"
"1932-11";"LD2010100";"13.15895927"
"1932-11";"VVP";"-7.63443779"
"1932-12";"LD2010100";"13.05207823"
"1932-12";"VVP";"-7.18254248"
"1933-01";"LD2010100";"12.9550128"
"1933-01";"VVP";"-7.16787564"
"1933-02";"LD2010100";"12.89671405"
"1933-02";"VVP";"-6.67661534"
"1933-03";"LD2010100";"12.82879799"
"1933-03";"VVP";"-6.77478854"
"1933-04";"LD2010100";"12.74134987"
"1933-04";"VVP";"-6.08470055"
"1933-05";"LD2010100";"12.67333467"
"1933-05";"VVP";"-5.91287834"
"1933-06";"LD2010100";"12.70248404"
"1933-06";"VVP";"-5.422883"
"1933-07";"LD2010100";"12.69286673"
"1933-07";"VVP";"-5.01417145"
"1933-08";"LD2010100";"12.69286673"
"1933-08";"VVP";"-4.59795812"
"1933-09";"LD2010100";"12.74134987"
"1933-09";"VVP";"-3.81206868"
"1933-10";"LD2010100";"12.74134987"
"1933-10";"VVP";"-3.67147151"
"1933-11";"LD2010100";"12.76078279"
"1933-11";"VVP";"-3.02589643"
"1933-12";"LD2010100";"12.75106633"
"1933-12";"VVP";"-2.30623732"
"1934-01";"LD2010100";"12.73163342"
"1934-01";"VVP";"-1.72426988"
"1934-02";"LD2010100";"12.70248404"
"1934-02";"VVP";"-1.50604262"
"1934-03";"LD2010100";"12.63456798"
"1934-03";"VVP";"-1.51401566"
"1934-04";"LD2010100";"12.61503592"
"1934-04";"VVP";"-0.99137025"
"1934-05";"LD2010100";"12.54711986"
"1934-05";"VVP";"-0.9959084"
"1934-06";"LD2010100";"12.57626924"
"1934-06";"VVP";"-0.99362302"
"1934-07";"LD2010100";"12.52768695"
"1934-07";"VVP";"-1.30135916"
"1934-08";"LD2010100";"12.49863672"
"1934-08";"VVP";"-1.53022965"
"1934-09";"LD2010100";"12.50825403"
"1934-09";"VVP";"-1.82944385"
"1934-10";"LD2010100";"12.50825403"
"1934-10";"VVP";"-1.82944385"
"1934-11";"LD2010100";"12.52768695"
"1934-11";"VVP";"-1.82665786"
"1934-12";"LD2010100";"12.50825403"
"1934-12";"VVP";"-1.90425094"
"1935-01";"LD2010100";"12.43052237"
"1935-01";"VVP";"-2.36506218"
"1935-02";"LD2010100";"12.38203923"
"1935-02";"VVP";"-2.5226941"
"1935-03";"LD2010100";"12.35288985"
"1935-03";"VVP";"-2.22942432"
"1935-04";"LD2010100";"12.29459111"
"1935-04";"VVP";"-2.54018155"
"1935-05";"LD2010100";"12.26544173"
"1935-05";"VVP";"-2.24496247"
"1935-06";"LD2010100";"12.36260631"
"1935-06";"VVP";"-1.69893728"
"1935-07";"LD2010100";"12.45005443"
"1935-07";"VVP";"-0.61968754"
"1935-08";"LD2010100";"12.49863672"
"1935-08";"VVP";"0"
"1935-09";"LD2010100";"12.50825403"
"1935-09";"VVP";"0"
"1935-10";"LD2010100";"12.55683632"
"1935-10";"VVP";"0.38840185"
"1935-11";"LD2010100";"12.61503592"
"1935-11";"VVP";"0.69724742"
"1935-12";"LD2010100";"12.62485153"
"1935-12";"VVP";"0.93216443"
"1936-01";"LD2010100";"12.59570215"
"1936-01";"VVP";"1.32882416"
"1936-02";"LD2010100";"12.57626924"
"1936-02";"VVP";"1.56864315"
"1936-03";"LD2010100";"12.59570215"
"1936-03";"VVP";"1.96563155"
"1936-04";"LD2010100";"12.61503592"
"1936-04";"VVP";"2.60638856"
"1936-05";"LD2010100";"12.57626924"
"1936-05";"VVP";"2.53417294"
"1936-06";"LD2010100";"12.63456798"
"1936-06";"VVP";"2.19987328"
"1936-07";"LD2010100";"12.64418529"
"1936-07";"VVP";"1.55927722"
"1936-08";"LD2010100";"12.64418529"
"1936-08";"VVP";"1.16451559"
"1936-09";"LD2010100";"12.67333467"
"1936-09";"VVP";"1.31977362"
"1936-10";"LD2010100";"12.78021571"
"1936-10";"VVP";"1.77894637"
"1936-11";"LD2010100";"12.81908154"
"1936-11";"VVP";"1.61747947"
"1936-12";"LD2010100";"12.81908154"
"1936-12";"VVP";"1.53847362"
"1937-01";"LD2010100";"12.96463011"
"1937-01";"VVP";"2.92899874"
"1937-02";"LD2010100";"13.24630824"
"1937-02";"VVP";"5.32780423"
"1937-03";"LD2010100";"13.23659178"
"1937-03";"VVP";"5.08816121"
"1937-04";"LD2010100";"13.27545762"
"1937-04";"VVP";"5.23519472"
"1937-05";"LD2010100";"13.23659178"
"1937-05";"VVP";"5.25054398"
"1937-06";"LD2010100";"13.3240399"
"1937-06";"VVP";"5.45702806"
"1937-07";"LD2010100";"13.31442259"
"1937-07";"VVP";"5.30075512"
"1937-08";"LD2010100";"13.30460699"
"1937-08";"VVP";"5.22312572"
"1937-09";"LD2010100";"13.30460699"
"1937-09";"VVP";"4.98110669"
"1937-10";"LD2010100";"13.36290574"
"1937-10";"VVP";"4.55931296"
"1937-11";"LD2010100";"13.38233865"
"1937-11";"VVP";"4.39389603"
"1937-12";"LD2010100";"13.38233865"
"1937-12";"VVP";"4.39389603"
"1938-01";"LD2010100";"13.38233865"
"1938-01";"VVP";"3.22190867"
"1938-02";"LD2010100";"13.34347282"
"1938-02";"VVP";"0.73352195"
"1938-03";"LD2010100";"13.30460699"
"1938-03";"VVP";"0.51384228"
"1938-04";"LD2010100";"13.25612385"
"1938-04";"VVP";"-0.14563542"
"1938-05";"LD2010100";"13.23659178"
"1938-05";"VVP";"0"
"1938-06";"LD2010100";"13.29489053"
"1938-06";"VVP";"-0.21877279"
"1938-07";"LD2010100";"13.28527322"
"1938-07";"VVP";"-0.21893081"
"1938-08";"LD2010100";"13.24630824"
"1938-08";"VVP";"-0.43818466"
"1938-09";"LD2010100";"13.33375636"
"1938-09";"VVP";"0.21909233"
"1938-10";"LD2010100";"13.31442259"
"1938-10";"VVP";"-0.36281886"
"1938-11";"LD2010100";"13.31442259"
"1938-11";"VVP";"-0.50750515"
"1938-12";"LD2010100";"13.29489053"
"1938-12";"VVP";"-0.65345918"
"1939-01";"LD2010100";"13.26574116"
"1939-01";"VVP";"-0.87127891"
"1939-02";"LD2010100";"13.20744241"
"1939-02";"VVP";"-1.01945282"
"1939-03";"LD2010100";"13.1978251"
"1939-03";"VVP";"-0.80259334"
"1939-04";"LD2010100";"13.24630824"
"1939-04";"VVP";"-0.07404582"
"1939-05";"LD2010100";"13.27545762"
"1939-05";"VVP";"0.29362416"
"1939-06";"LD2010100";"13.34347282"
"1939-06";"VVP";"0.36542076"
"1939-07";"LD2010100";"13.35318928"
"1939-07";"VVP";"0.5112131"
"1939-08";"LD2010100";"13.3240399"
"1939-08";"VVP";"0.58681756"
"1939-09";"LD2010100";"13.42120448"
"1939-09";"VVP";"0.6558401"
"1939-10";"LD2010100";"13.64448472"
"1939-10";"VVP";"2.4789819"
"1939-11";"LD2010100";"13.76108222"
"1939-11";"VVP";"3.35470515"
"1939-12";"LD2010100";"13.79023159"
"1939-12";"VVP";"3.7258002"
"1940-01";"LD2010100";"14.00389451"
"1940-01";"VVP";"5.56435821"
"1940-02";"LD2010100";"14.0426612"
"1940-02";"VVP";"6.32384956"
"1940-03";"LD2010100";"14.06209411"
"1940-03";"VVP";"6.54857151"
"1940-04";"LD2010100";"14.30490641"
"1940-04";"VVP";"7.99164683"
"1940-05";"LD2010100";"14.39225539"
"1940-05";"VVP";"8.41249925"
"1940-06";"LD2010100";"14.52818665"
"1940-06";"VVP";"8.87860189"
"1940-07";"LD2010100";"14.62535123"
"1940-07";"VVP";"9.52702703"
"1940-08";"LD2010100";"14.66421706"
"1940-08";"VVP";"10.05833941"
"1940-09";"LD2010100";"14.87778084"
"1940-09";"VVP";"10.85279908"
"1940-10";"LD2010100";"15.21775772"
"1940-10";"VVP";"11.5304684"
"1940-11";"LD2010100";"15.46057002"
"1940-11";"VVP";"12.34995749"
"1940-12";"LD2010100";"15.52848608"
"1940-12";"VVP";"12.60496952"
"1941-01";"LD2010100";"15.81978152"
"1941-01";"VVP";"12.96701429"
"1941-02";"LD2010100";"15.81978152"
"1941-02";"VVP";"12.65515342"
"1941-03";"LD2010100";"15.89761233"
"1941-03";"VVP";"13.05295072"
"1941-04";"LD2010100";"16.38313778"
"1941-04";"VVP";"14.5281018"
"1941-05";"LD2010100";"16.62595008"
"1941-05";"VVP";"15.52011573"
"1941-06";"LD2010100";"16.97554427"
"1941-06";"VVP";"16.84558216"
"1941-07";"LD2010100";"17.19882451"
"1941-07";"VVP";"17.59597589"
"1941-08";"LD2010100";"17.25712325"
"1941-08";"VVP";"17.68185906"
"1941-09";"LD2010100";"17.30570554"
"1941-09";"VVP";"16.31913206"
"1941-10";"LD2010100";"17.64568242"
"1941-10";"VVP";"15.9545496"
"1941-11";"LD2010100";"17.84952974"
"1941-11";"VVP";"15.45195113"
"1941-12";"LD2010100";"17.89811203"
"1941-12";"VVP";"15.25986464"
"1942-01";"LD2010100";"18.09234204"
"1942-01";"VVP";"14.36530917"
"1942-02";"LD2010100";"18.24770622"
"1942-02";"VVP";"15.34739718"
"1942-03";"LD2010100";"18.32533874"
"1942-03";"VVP";"15.27101277"
"1942-04";"LD2010100";"18.55853373"
"1942-04";"VVP";"13.27826192"
"1942-05";"LD2010100";"18.67503207"
"1942-05";"VVP";"12.3246009"
"1942-06";"LD2010100";"18.71389791"
"1942-06";"VVP";"10.24034109"
"1942-07";"LD2010100";"18.99557604"
"1942-07";"VVP";"10.4469438"
"1942-08";"LD2010100";"18.95661106"
"1942-08";"VVP";"9.84803654"
"1942-09";"LD2010100";"18.97604397"
"1942-09";"VVP";"9.65195222"
"1942-10";"LD2010100";"19.17027398"
"1942-10";"VVP";"8.64002607"
"1942-11";"LD2010100";"19.28687148"
"1942-11";"VVP";"8.0525468"
"1942-12";"LD2010100";"19.38393691"
"1942-12";"VVP";"8.30157323"
"1943-01";"LD2010100";"19.50053441"
"1943-01";"VVP";"7.78336137"
"1943-02";"LD2010100";"19.53930109"
"1943-02";"VVP";"7.07812177"
"1943-03";"LD2010100";"19.55883315"
"1943-03";"VVP";"6.73108657"
"1943-04";"LD2010100";"19.67523235"
"1943-04";"VVP";"6.01717055"
"1943-05";"LD2010100";"19.68504796"
"1943-05";"VVP";"5.40837563"
"1943-06";"LD2010100";"19.74334671"
"1943-06";"VVP";"5.50098544"
"1943-07";"LD2010100";"19.8015463"
"1943-07";"VVP";"4.2429367"
"1943-08";"LD2010100";"19.76268047"
"1943-08";"VVP";"4.25218101"
"1943-09";"LD2010100";"19.83069568"
"1943-09";"VVP";"4.50384551"
"1943-10";"LD2010100";"19.89871088"
"1943-10";"VVP";"3.79982519"
"1943-11";"LD2010100";"19.91804465"
"1943-11";"VVP";"3.27255342"
"1943-12";"LD2010100";"19.93757672"
"1943-12";"VVP";"2.85617833"
"1944-01";"LD2010100";"19.96662694"
"1944-01";"VVP";"2.39015263"
"1944-02";"LD2010100";"19.99577632"
"1944-02";"VVP";"2.33619014"
"1944-03";"LD2010100";"20.0443586"
"1944-03";"VVP";"2.48238455"
"1944-04";"LD2010100";"20.11227466"
"1944-04";"VVP";"2.22128157"
"1944-05";"LD2010100";"20.15123964"
"1944-05";"VVP";"2.36825272"
"1944-06";"LD2010100";"20.2191557"
"1944-06";"VVP";"2.40997133"
"1944-07";"LD2010100";"20.27745445"
"1944-07";"VVP";"2.40338878"
"1944-08";"LD2010100";"20.19972278"
"1944-08";"VVP";"2.2114526"
"1944-09";"LD2010100";"20.19972278"
"1944-09";"VVP";"1.86088835"
"1944-10";"LD2010100";"20.2191557"
"1944-10";"VVP";"1.61037977"
"1944-11";"LD2010100";"20.2191557"
"1944-11";"VVP";"1.51175004"
"1944-12";"LD2010100";"20.2191557"
"1944-12";"VVP";"1.41230295"
"1945-01";"LD2010100";"20.24830507"
"1945-01";"VVP";"1.4107447"
"1945-02";"LD2010100";"20.26763884"
"1945-02";"VVP";"1.35959976"
"1945-03";"LD2010100";"20.27745445"
"1945-03";"VVP";"1.16289998"
"1945-04";"LD2010100";"20.32593759"
"1945-04";"VVP";"1.06235088"
"1945-05";"LD2010100";"20.35508696"
"1945-05";"VVP";"1.011587"
"1945-06";"LD2010100";"20.42310217"
"1945-06";"VVP";"1.00867945"
"1945-07";"LD2010100";"20.44253508"
"1945-07";"VVP";"0.81410927"
"1945-08";"LD2010100";"20.39395279"
"1945-08";"VVP";"0.9615479"
"1945-09";"LD2010100";"20.36480342"
